Stock Number,Barcode,Name
PART,,Part
ROUNDING,,Rounding
FREIGHT,,Freight
LAB,,Labour
6-1300,867596514874,Printing for MFI Compliance
QUOTE w/s Labour Only,077909730281,Quoted Price
Interest Received Customer,495703908781,Interest Received Customer
QUOTE Parts only,251892029847,Quoted Price
MFI  M7 Meter,811370441047,MFI Liquid Control M7 Meter
Progress Payment,130825740780,Progress Payment
6-1310,770487908119,Protective/Safety Gear
6-1340,339735512181,R&M Workshop repairs
6-1410,096452846716,Tools/Equipment <$500
6-1435,562461352744,Workshop Costs
6-1131,782374057084,MFI Consumables - General
Workshop Plant-E Asset MFI ENG,864350186150,1-2000 - Plant Asset
PALLET,847238677060,Pallet
8-1030,002455055962,Sundry Income - Misc
6-1265,592740318140,Oncharge Code Compliance/Other
VTE-3,900627418839,Vapour Elbow Assembly
LTE4SHJET,409744314832,Shell LTE 4x4 Jet
LTE4SHAVG,160501767024,Shell LTE 4x4 Avgas
102VR4.0,867191189525,"""4mtr Vapour Recovery Hose 4"""""
EBSPRAY KITK,331316523813,Kalrez Repair Kit
MFI Land Leg,108980519535,Landing Legs
HP14032201830P,599798059501,New Item
API496J,451760266529,Jet A1 Selective Faucet
5V09202010 (McRaes),567497073789,3 POS Detent Spring Return
TXD2.5R,031503191993,Reconditioned Blackmer Pump 2.
ACX3492HD (Ashdpwn Ingram),414010979804,B Safe Master Switch
BNDTBUCKLE,036625973888,9.5mm S/S Bandit Buckle
DRUM PALLET,442396419209,Drum Pallet
VP7/1-2,302579310645,Sampi 2 Stage Preset
700-DPS-2401,248261438566,Master Switch 24volt Baxter
76VR4.0,056810665768,"""4mtr Vapour Recovery Hose 3"""""
3SMA22RB13N,816648392015,Galtech SM Gear Motor
700-DPS-1200,627364662465,Master Switch 12volt Baxter
49403,341716190089,LC Calibrator and Drive Shaft
TE BAX24V (BNT),940370117588,Baxter Battery Isolator 24volt
SCM50AL,124314143039,Todo Female
SCM80AL,057628771123,Todo 119mmx3'' FBSP Alloy Hose
TMU 295,413316267624,Printer and Cable
331-125-001,620767831191,Drybreak Coupler 4x2
TXD2.5A,078012410605,"""2.5"""" Blackmer Pump"""
TW DT (Alan Mountfort),,Design and TAN Certification
727-790685,943310126107,TS Pulsar Terminal Board
700-DPS-1202 (BNT),162191456769,Baxter Battery Isolator 12volt
ACX3492HD (Harvey Electrical),003749430146,B Safe Master Switch
TE BAX24V (Tanker Engineering),294713682635,Baxter Battery Isolator 24volt
700-DPS-1202 (Tanker Eng),483807281882,Baxter Battery Isolator 12volt
76VR 3.8,185765293389,"""3.8mtr Vapour Recovery Hose 3"
FG-230-6,396685632425,Filter Monitor
CSKSKTM525Z,152555345252,M5x25 CSK SKT Screws Z/P
CONS GEN,128285455139,Consumables -  General
CONS WELDG,305845706937,Consumables - Welding
Freight & Courier,071534851067,Freight/ Courier
5-1026,400954947939,Accommodation/Travel Expenses
6-1266,454318500707,MYOB/Comp/VF oncharge complian
API403-B,964608987436,"""4"""" API Bottom Loading Valve"""
TXD2A/101-1033,392500699143,"""Blackmer 2"""" Pump - c/w Hyd P"
158-1537-001,738590075241,"""Char-lynn Hyd Motor 65cc 2 Bolt 1 7/8"""""""
VOH400,619016024307,"""Manlid complete with Emergency Hatch, P & V Vent"""
SCM65AL,334915488571,"""Todo 105mm x 2 1/2"""" FBSP All"
FIRE EXT 2.5KGABE (Brooking),151203455737,2.5kg ABE Dry Powder Fire Extinguisher
TE BAX12V,783021367704,Baxter Battery Isolator 12 Volt
AR2.5,225344440058,Brass Air Ram suit PEC Foot Valve
MFI M7 Meter,480885273956,MFI M7 Meter Reconditioned &
158-1010-001,066078323108,Char-Lynn Hydraulic Motor 80cc
331-125-002,110624215021,Dry Break Coupler 4x3 Jumper Hose
SLV5-ARO,848887268904,Foot Valve complete with ARO100
M7-C-1 (L1),269126778690,LC Meter less Counter & Adjuster
Misc,970636982758,( Description Required )
BOOTH SRS,569107998431,Supply and Install Pneumatic Booth Handrail System
V15-T86,174277294521,V15 Pump complete with Mechanical Seal
H20,399319478790,Water@0.0078cents/ltr
UNC 1/4 NYLOC (Brassfit),835763644003,1/4 UNC Nyloc Nut
P0129,954359905070,"""Nut 5/16""""  BSW"""
UNC 1/4 NYLOC (Hardie),239139554582,1/4 UNC Nyloc Nut
WASTE OIL,344292547759,Waste Oil/ltr
M5 NYLOC (Brassfit),693887073898,M5 Nyloc Nut ZP
M4 NYLOC (Brassfit),568611737212,M4 Nyloc Nut ZP
R73AS 5-4,843442978086,Truss Rivet 4.8 - 6.4mm
M6 NYLOC (Brassfit),259784494956,M6 Nyloc Nut ZP
M6 NYLOC (MSL),875069638532,M6 Nyloc Nut ZP
R73AS 4-4,419410188326,Truss Rivet 4.8 - 6.4mm
M4 NYLOC (Holmes),882128431592,M4 Nyloc Nut ZP
M5 NYLOC (MSL),481829535019,M5 Nyloc Nut ZP
M6 NYLOC (Hardie),441961395344,M6 Nyloc Nut ZP
M3 NYLOC,666996304922,M3 Nylock Nut ZP
M6 NYLOC (Holmes),193195273252,M6 Nyloc Nut ZP
M4 NYLOC (MSL),426515359699,M4 Nyloc Nut ZP
NHFSS16Z (Mt),297108735674,UNC 5/16 Full Nut ZP
R73AS 5-6,380342057327,Truss Rivet 7.9 - 9.5mm
MFI SLOPS,463673237609,Slops/ltr
OR.010N70,856239924429,O Ring NBR 70SH
R73AS 4-5,496521742372,Truss Rivet 6.4 - 7.9mm
M8 NYLOC (Brassfit),019559292371,M8 Nyloc Nut ZP
M8 NYLOC (MSL),239054250250,M8 Nyloc Nut ZP
UNC 3/8 NYLOC,718597258845,3/8 UNC Nyloc Nut
M8 NYLOC (Hardie),071165148081,M8 Nyloc Nut ZP
M8 NYLOC (Holmes),076321529884,M8 Nyloc Nut ZP
R73AS 6-6,011147660064,Truss Rivet 7.9 - 9.5mm
BSW 1/4 NYLOC,328656982871,1/4 BSW Nyloc Nut ZP
